ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth (m),Area (m2),Estimated coordinates,Reference,ANP,Protection Level,Validation,Estimated Area,Area Loss,Loss Index,Pollution ,Coastal.Modification,Biological.Resource.Use,MHWs,Minning,Threat index ,Red List Category,Zone,State,Region
333,Zostera marina,2009,June,Lopez-Calderon et al.,Punta Tormenta,29.02,-112.2,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
334,Ruppia maritima,2009,October,Lopez-Calderon et al.,Punta Tormenta,29.02,-112.2,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
335,Ruppia maritima,2010,August,Lopez-Calderon et al.,Punta Tormenta,29.02,-112.2,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
336,Zostera marina,2010,May,Lopez-Calderon et al.,Punta Tormenta,29.02,-112.2,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
337,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Punta Tormenta,29.02,-112.2,0.15,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
338,Halodule wrightii,1986-1988,January-June,Ramirez-Garcia y Lot,Punta Tormenta,29.02,-112.2,1,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
339,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Punta Tormenta,29.02,-112.2,3,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
340,Zostera marina,1985,April,Valencia et al.,Punta Vibora,29.16,-112.19,DD,DD,Yes,Nutritive value of Zostera marina and cardon (Pachycereus pringlei) as consumed by the Seri Indians In Sonora Mexico,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
341,Zostera marina,1996,November,Meling-Lopez & Ibarra-Obando,Punta Vibora,29.16,-112.19,DD,DD,No,Annual life cycles of two Zostera marina L. populations in the Gulf of California: contrasts in seasonality and reproductive effort,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
342,Zostera marina,1997,November,Meling-Lopez & Ibarra-Obando,Punta Vibora,29.16,-112.19,DD,DD,No,Annual life cycles of two Zostera marina L. populations in the Gulf of California: contrasts in seasonality and reproductive effort,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
343,Zostera marina,2000,March-April,Torre-Cosio,Punta Vibora,29.16,-112.19,DD,DD,Yes,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
344,Zostera marina,1996-1997,November-May,Meling-Lopez & Ibarra-Obando,Punta Vibora,29.16,-112.19,5,DD,Yes,Annual life cycles of two Zostera marina L. populations in the Gulf of California: contrasts in seasonality and reproductive effort,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
345,Zostera marina,2009,June,Lopez-Calderon et al.,Punta Xpanams,29.06,-112.22,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
346,Zostera marina,2010,May,Lopez-Calderon et al.,Punta Xpanams,29.06,-112.22,DD,DD,Yes,Zostera marina meadows from the Gulf of California conservation status,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
347,Ruppia maritima,1997,DD,Leon de la Luz et al.,San Jose del Cabo,23.06,-109.68,DD,DD,Yes,Floristic composition of the San Jose del Cabo Oasis. Baja California Sur. Mexico,No,0,No,DD,DD,,0,1,1,0.06134,0,,,Los Cabos ,Baja California Sur,Southern Gulf
348,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,San Jose del Cabo,23.05,-109.68,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,0,No,DD,DD,,0,1,1,0.06134,0,,,Los Cabos ,Baja California Sur,Southern Gulf
349,Ruppia maritima,2009,DD,Meling-Lopez,Santa Barbara,26.7,-109.64,DD,DD,No,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Humedales de Yavaros – Moroncarit,1,DD,DD,DD,,1,0,1,0.04399,0,,,Laguna Yavaros-Moroncarit,Sonora,Central Gulf
350,Halodule wrightii,1987,DD,Aguilar-Rosas y Lopez-Ruelas,Topolobampo,25.56,-109.11,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Lagunas de Santa María-Topolobampo-Ohuira,1,Yes,DD,DD,,1,1,1,0.04445,0,,,Topolobampo,Sinaloa,Southern Gulf
351,Ruppia maritima,1987,DD,Ramirez-Garcia y Lot,Topolobampo,25.56,-109.11,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Lagunas de Santa María-Topolobampo-Ohuira,1,Yes,DD,DD,,1,1,1,0.04445,0,,,Topolobampo,Sinaloa,Southern Gulf
352,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Topolobampo,25.57,-109.05,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Lagunas de Santa María-Topolobampo-Ohuira,1,DD,DD,DD,,1,0,1,0.04445,0,,,Topolobampo,Sinaloa,Southern Gulf
353,Zostera marina,1970,February,Ortega et al.,Yavaros-Moroncarit,26.7,-109.53,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de Yavaros – Moroncarit,1,DD,DD,DD,,1,0,1,0.04399,0,,,Laguna Yavaros-Moroncarit,Sonora,Central Gulf
354,Zostera marina,1977,February,Ortega et al.,Yavaros-Moroncarit,26.68,-109.48,DD,DD,No,MEXU,Sitio Ramsar Humedales de Yavaros – Moroncarit,1,No,DD,DD,,1,0,1,0.0449,0,,,Laguna Yavaros-Moroncarit,Sonora,Central Gulf
355,Ruppia maritima,2009,DD,Meling-Lopez,Yavaros-Moroncarit,26.69,-109.56,DD,DD,No,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Humedales de Yavaros – Moroncarit,1,DD,DD,DD,,1,0,1,0.04399,0,,,Laguna Yavaros-Moroncarit,Sonora,Central Gulf
356,Ruppia maritima,2009,DD,Meling-Lopez,Yavaros-Moroncarit,26.7,-109.53,DD,DD,No,Com.Pers.,Sitio Ramsar Humedales de Yavaros – Moroncarit,1,DD,DD,DD,,1,0,1,0.04399,0,,,Laguna Yavaros-Moroncarit,Sonora,Central Gulf
357,Halodule wrightii,2000,June,Santamaria-Gallegos et al.,El Requeson,26.64,-111.83,1,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",Parque Nacional Bahia de Loreto,1,Yes,DD,DD,,1,0,0,0.06077,0,,,Loreto,Baja California Sur,Central Gulf
358,Zostera marina,2007,April,Wilder,Isla Tiburon,28.89,-112.24,1,DD,No,ASU_Plants,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04257,0,,,Canal del Infiernillo ,Sonora,Central Gulf
359,Zostera marina,2000,March-April,Torre-Cosio,Punta Perla,29.23,-112.3,DD,DD,Yes,Inventario y monitoreo del Canal del Infiernillo para el co-manejo de los recursos marinos en el territorio Seri. Golfo de California,Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,DD,DD,,0,0,0,0.04419,0,,,Canal del Infiernillo ,Sonora ,Central Gulf
360,Ruppia maritima,2021,April,Ramirez-Zuñiga et al. ,San Basilio ,26.35,-111.42,1,DD,Yes,HCIB,No,0,Yes,DD,DD,,1,0,0,0.04672,0,,,Loreto,Baja California Sur,Central Gulf
